"4 niveaux de durcissement ?","Minimal (systématique), Intermédiaire, Renforcé (fort besoin sécurité), Élevé (nécessite compétences/temps de maintien) - cumulatifs."
"3 objectifs classés des menaces ?","Disponibilité (DoS), Confidentialité (vol de données), Intégrité (détournement/persistance)."
"Principe de minimisation ?","Réduire la surface d'attaque en évitant toute complexité inutile."
"Principe de moindre privilège ?","Un objet/entité ne dispose que des droits strictement nécessaires à son exécution."
"Principe de défense en profondeur ?","Plusieurs couches de sécurité indépendantes, chacune génère des signaux facilitant détection/remédiation."
"Pourquoi ne pas utiliser root directement pour administrer ?","Plein pouvoir + nuit à l'imputabilité ; préférer comptes nominatifs + sudo."
"Comment verrouiller un compte + désactiver son shell ?","usermod -L -e 1 <compte> puis usermod -s /bin/false <compte>."
"Piège de la désactivation de root ?","N'empêche pas sudo bash → shell root ; à combiner avec une interdiction organisationnelle."
"Pourquoi désactiver le shell des comptes de service ?","La plupart n'ont pas besoin de session interactive - évite une connexion illégitime."
"Risque du compte générique nobody partagé ?","Plusieurs services avec les mêmes privilèges peuvent s'altérer mutuellement (config, signaux, ptrace)."
"Intérêt de journaliser tout processus via auditd ?","Reconstituer l'enchaînement des opérations, imputer une action à un administrateur identifié."
"Règles auditd pour tracer les exec ?","-a exit,always -F arch=b64 -S execve,execveat (+ équivalent b32)."
"Sur quoi repose AppArmor ?","Chemins du système de fichiers, par exécutable (LSM par défaut SUSE/Ubuntu)."
"Mode recommandé des profils AppArmor ?","enforce par défaut (pas complaining, qui ne fait qu'enregistrer sans bloquer)."
"Commande de vérification AppArmor ?","aa-status."
"Politique SELinux recommandée ?","targeted, avec confinement des utilisateurs interactifs non privilégiés."
"Faiblesses historiques de chroot ?","Root peut en sortir ; pas de blocage réseau/process ; nécessite privilèges root pour être lancé."
"Mécanismes modernes de cloisonnement noyau ?","Namespaces (partition des ressources), seccomp (filtrage syscalls), cgroups (isolation ressources)."
"Risque si le noyau/hyperviseur sous-jacent est compromis ?","Tous les environnements cloisonnés qu'il héberge (conteneurs, VM) sont compromis."
"Où stocker le journal d'un service ?","Journal dédié, accessible seulement par syslog, non modifiable par le service lui-même."
