"Quelle méthode d'analyse de risque recommander avant de concevoir une architecture ?","EBIOS Risk Manager, en connaissant le contexte réglementaire applicable."
"Selon quel critère cloisonner les ressources d'un SI ?","Les risques et besoins métier, selon l'exposition et la sensibilité des données."
"Dans quel sens les flux doivent-ils circuler entre zones de confiance différente ?","De la zone de plus haute confiance vers la zone de moindre confiance (jamais l'inverse)."
"Comment sécuriser les opérations à privilèges élevés ?","En les cloisonnant des environnements de production."
"Que faut-il élaborer et mettre à jour régulièrement ?","Une cartographie et des inventaires du système d'information."
"Que vérifier régulièrement sur les choix d'architecture ?","Qu'ils sont réellement motivés par des besoins métier avérés."
"Quelles thématiques d'accès figurent dans un dossier d'architecture technique ?","Identification, authentification et gestion des droits d'accès."
"Quelle thématique couvre la gestion des comptes à privilèges ?","L'administration, incluant le DevSecOps."
"Quelles thématiques couvrent le chiffrement et le filtrage ?","Chiffrement des données en transit/au repos, et filtrage des flux."
"Que couvre la thématique accès à distance ?","Le nomadisme numérique et les accès tiers."
"Que couvre la thématique supervision de sécurité ?","La journalisation, la détection et le traitement des incidents."
"Quelles autres publications ANSSI complètent un dossier d'architecture ?","Administration AD sécurisée, choix de pare-feux, architectures DNS, modèle Zero Trust, hébergement cloud des SI sensibles."
"Que couvre la thématique continuité et reprise d'activité ?","Les sauvegardes, en complément de la protection contre les codes malveillants et de la sécurité physique."
