Quelle augmentation des atteintes numériques a été enregistrée en cinq ans selon le rapport 2025 ?;+25%;+50%;+74%;+100%;4;Le rapport indique une hausse de 74% des atteintes numériques en cinq ans avec un total de 348 000 faits en 2024.
Quel secteur d'activité représente la majorité des atteintes numériques en 2024 ?;Les atteintes aux biens;Les atteintes aux personnes;Les atteintes à l'État;Les atteintes aux mineurs;2;Les atteintes aux biens représentent 65% des faits enregistrés, suivies par les atteintes aux personnes à 29,7%.
Quelle évolution a été constatée concernant les plaintes pour rançongiciels en 2024 ?;Une hausse de 20%;Une baisse de 13%;Une stagnation complète;Une baisse de 50%;3;Le nombre de plaintes a baissé de 13%, car les attaquants délaissent parfois le chiffrement pour privilégier le vol et la menace de diffusion des données.
Qu'est-ce que le CaaS dans l'écosystème cybercriminel ?;Communication-as-a-Service;Crypto-as-a-Service;Cybercrime-as-a-Service;Cloud-as-a-Service;4;Le Cybercrime-as-a-Service est la mise à disposition de compétences ou d'outils criminels clés en main contre rémunération.
Quel est le rôle d'un "affilié" dans un groupe de rançongiciel ?;Développer le virus;Laver l'argent;Mener l'attaque en utilisant les outils du groupe;Héberger le site web;4;Les affiliés sont les opérateurs qui exécutent les attaques en utilisant les outils fournis par les développeurs en échange d'une commission.
Qu'est-ce que le "bulletproof hosting" ?;Un hébergement sécurisé pour la police;Un hébergement tolérant les contenus illégaux;Un service de protection contre les balles;Un protocole de chiffrement militaire;3;L'hébergement pare-balles offre des infrastructures résilientes aux activités criminelles en ignorant les requêtes judiciaires.
Quelle technique désigne l'hameçonnage par SMS ?;Vishing;Phishing;Smishing;Spoofing;4;Le smishing (SMS phishing) consiste à envoyer des SMS frauduleux pour inciter la victime à cliquer sur un lien malveillant.
Quelle technique désigne l'hameçonnage vocal par téléphone ?;Vishing;Smishing;Doxing;Whaling;2;Le vishing (voice phishing) utilise le téléphone pour manipuler la victime, souvent en se faisant passer pour un conseiller bancaire.
Qu'est-ce que le "spoofing" téléphonique ?;L'écoute téléphonique illégale;L'usurpation du numéro appelant;Le vol de carte SIM;Le piratage de la messagerie vocale;3;Le spoofing permet d'afficher un numéro légitime (comme celui d'une banque) pour tromper la vigilance de la victime.
Quel est l'objectif principal d'un "infostealer" ?;Chiffrer les données;Détruire le disque dur;Miner des crypto-actifs;Dérober des données sensibles;5;Les infostealers sont des logiciels malveillants conçus pour exfiltrer des mots de passe, cookies et identifiants bancaires.
En quoi consiste la "double extorsion" dans les attaques par rançongiciel ?;Chiffrement et vol de données avec menace de diffusion;Chiffrement et attaque DDoS;Vol de données et harcèlement physique;Chiffrement des serveurs et des sauvegardes;2;La double extorsion combine le blocage des données par chiffrement et la menace de divulguer les données volées si la rançon n'est pas payée.
Quelle opération a visé le groupe de rançongiciel LockBit en 2024 ?;Opération Endgame;Opération Magnus;Opération Cronos;Opération Power Off;4;L'opération Cronos a permis de déstabiliser l'infrastructure de LockBit et d'arrêter plusieurs affiliés.
Quelle est la fonction d'un "Initial Access Broker" ?;Vendre des accès initiaux à des réseaux compromis;Négocier la rançon avec la victime;Blanchir l'argent des attaques;Développer des logiciels malveillants;2;Ces courtiers se spécialisent dans la découverte de vulnérabilités pour vendre les accès (VPN, RDP) à d'autres criminels.
Qu'est-ce qu'un "deepfake" de type "face swap" ?;La création d'un visage artificiel;Le remplacement d'un visage par un autre dans une vidéo;L'animation d'une photo fixe;La synthèse vocale d'une personne;3;Le face swap consiste à remplacer le visage d'une personne par celui d'une autre dans un contenu existant.
Qu'est-ce que l'attaque par "empoisonnement des données" (data poisoning) ?;La suppression de bases de données;Le vol de données médicales;La corruption des données d'apprentissage d'une IA;L'injection de virus dans un fichier;4;Cette technique vise à fausser les résultats ou le comportement d'une intelligence artificielle en altérant ses données d'entraînement.
Quel règlement européen encadre le marché des crypto-actifs ?;RGPD;NIS2;MICA;RIA;4;Le règlement MICA (Markets in Crypto-Assets) vise à encadrer les crypto-actifs et protéger les investisseurs.
Quelle directive européenne renforce la cybersécurité des entités critiques ?;NIS2;DSA;DMA;MICA;2;La directive NIS2 élargit et renforce les obligations de cybersécurité pour les secteurs critiques et importants.
Que signifie l'acronyme "RIA" dans le contexte juridique européen ?;Règlement sur l'Intelligence Artificielle;Régime d'Interdiction des Attaques;Réseau d'Investigation Avancé;Registre International des Arnaques;2;Le RIA (ou AI Act) pose un cadre juridique pour l'intelligence artificielle selon une approche par les risques.
Quelle jurisprudence de la CJUE de 2024 impacte les enquêtes numériques ?;Interdiction de l'anonymat en ligne;Contrôle indépendant requis pour l'accès aux données téléphoniques;Légalisation du hacking éthique;Obligation de conserver les logs 10 ans;3;La CJUE exige désormais l'autorisation d'un juge ou d'une autorité indépendante pour accéder aux données d'un téléphone, sauf urgence.
Qu'est-ce que le "chain hopping" dans le blanchiment de crypto-actifs ?;Le minage rapide de blocs;Le transfert de fonds d'une blockchain à une autre;L'utilisation de plusieurs portefeuilles sur la même chaîne;L'achat de NFT;3;Le chain hopping consiste à transférer des fonds entre différentes blockchains pour opacifier la traçabilité des transactions.
Quelle est la particularité de l'attaque "SIM Swapping" ?;Copier la carte SIM physiquement;Détourner le numéro de téléphone vers une nouvelle SIM;Pirater la puce de la carte SIM;Envoyer des virus par SMS;3;Le SIM swapping consiste à usurper l'identité de la victime pour transférer son numéro sur une nouvelle carte SIM contrôlée par l'attaquant.
Quelle plateforme de messagerie chiffrée a été démantelée lors de l'opération Ghost ?;Encrochat;SkyECC;Ghost;Matrix;4;La plateforme Ghost, utilisée par le crime organisé, a été démantelée en septembre 2024 par une coalition internationale.
Qu'est-ce que le "doxing" ?;Une attaque par déni de service;La révélation publique de données personnelles pour nuire;Le vol de crypto-actifs;L'usurpation d'identité bancaire;3;Le doxing est la divulgation malveillante d'informations privées (adresse, téléphone) sur internet, souvent pour inciter au harcèlement.
Quelle opération a ciblé les réseaux de botnets comme IcedID et Pikabot ?;Opération Magnus;Opération Cronos;Opération Endgame;Opération Power Off;4;L'opération Endgame, lancée en mai 2024, visait à démanteler plusieurs botnets majeurs utilisés pour propager des maliciels.
Qu'est-ce qu'un "draineur de portefeuille" (wallet drainer) ?;Un logiciel pour gérer ses comptes;Un smart contract malveillant vidant les crypto-actifs;Un virus effaçant le disque dur;Un outil de minage légal;3;C'est un programme qui incite la victime à signer une transaction autorisant le siphonnage de tous ses crypto-actifs.
Quel logiciel malveillant a été utilisé pour voler des données de millions de Français via des prestataires ?;LockBit;Epsilon;Pegasus;WannaCry;3;Le groupe Epsilon a utilisé un infostealer pour voler des millions de données d'entreprises françaises en 2024.
Quel est le premier vecteur de compromission selon le rapport ?;Les failles zéro-day;Les clés USB;Le facteur humain (ingénierie sociale);Le wifi public;4;Le facteur humain reste le premier vecteur via l'hameçonnage et l'ingénierie sociale.
Qu'est-ce que le "credential stuffing" ?;Le vol de cartes bancaires physiques;Le test automatisé d'identifiants volés sur d'autres sites;La création de faux comptes manuellement;Le bourrage de papier dans une imprimante;3;Cette technique consiste à tester des combinaisons d'identifiants volés ailleurs pour accéder à d'autres comptes utilisateurs.
Quelle décision de la Cour de cassation (avril 2024) concerne l'OSINT ?;Interdiction totale de l'OSINT;Liberté totale de collecte;Cadre légal requis même pour les données publiques;Obligation de payer les données;4;La Cour a jugé que la collecte de données, même publiques sur internet, doit respecter un cadre légal et le principe de loyauté.
Qu'est-ce qu'un "script kiddie" ?;Un expert en codage;Un pirate éthique;Un amateur utilisant des outils clés en main;Un développeur de rançongiciel;4;Ce terme désigne des cybercriminels peu compétents techniquement qui utilisent des outils tout faits achetés ou trouvés en ligne.
Quel est l'objectif de l'opération "Power Off" ?;Lutter contre les plateformes de DDoS;Éteindre les serveurs du Darknet;Arrêter les escrocs aux crypto-actifs;Bloquer les deepfakes;2;L'opération Power Off cible spécifiquement les plateformes proposant des services d'attaques par déni de service distribué (DDoS).
Qu'est-ce que le projet "Authentik IA" du COMCYBER-MI ?;Un outil de création de deepfakes;Une IA pour rédiger des rapports;Un outil de détection des deepfakes;Un système de reconnaissance faciale;4;Authentik IA est un projet visant à aider à la détection des deepfakes en analysant des marqueurs techniques.
Quel type de données les administrations publiques se font-elles le plus souvent voler ?;Des brevets industriels;Des données personnelles d'usagers;Des secrets militaires;Des codes sources;3;Les administrations représentent 30% des fuites de données, concernant souvent des données personnelles des citoyens.
Qu'est-ce que la "chasse au gros gibier" (Big Game Hunting) ?;Cibler des particuliers riches;Cibler de grandes organisations pour des rançons élevées;Attaquer des serveurs de jeux vidéo;Voler des crypto-monnaies;3;C'est une stratégie ciblant de grandes entreprises ou institutions capables de payer de très fortes rançons.
Quel est le principe de la "triple extorsion" ?;Chiffrement + Vol + DDoS;Chiffrement + Vol + Menace physique;Chiffrement + Vol + Harcèlement téléphonique;Vol + Vente + Destruction;2;La triple extorsion ajoute la menace d'une attaque DDoS (déni de service) au chiffrement et au vol de données pour forcer le paiement.
