"À qui ce guide est-il destiné ?","Aux éditeurs de postes multi-environnements, pas aux administrateurs systèmes."
"Que traite exclusivement ce document ?","Le cloisonnement entre systèmes d'exploitation complets (pas l'isolation applicative)."
"Jusqu'à quel niveau de sensibilité ce guide s'applique-t-il ?","Diffusion Restreinte (DR) au sens de l'II 901, pas Secret/Très Secret (IGI 1300)."
"Qu'est-ce qu'un domaine ?","L'environnement d'exécution de tâches, défini par ses ressources accessibles (utilisateur ou support)."
"Qu'est-ce que le socle ?","L'ensemble matériel/logiciel assurant l'isolation entre domaines, incluant la TCB."
"Pourquoi préférer les VM aux sandbox pour les domaines utilisateurs ?","Cloisonnement plus fort, pas de partage du noyau avec le socle, surface d'attaque réduite."
"Deux domaines de même sensibilité doivent-ils être isolés ?","Oui — sensibilité identique ≠ droit d'accès identique."
"Comment assurer l'intégrité de la chaîne de démarrage ?","UEFI Secure Boot + Measured Boot reposant sur un TPM (RTM)."
"Que protège un TPM dans ce contexte ?","Les secrets cryptographiques sensibles du socle (ex. clé de déchiffrement)."
"Comment se protéger des attaques coldboot sur la RAM ?","Chiffrement complet de la mémoire DRAM (Intel TME, AMD TSME)."
"Qu'est-ce que le moniteur de référence ?","Le logiciel qui autorise/interdit une action selon la politique de sécurité (ex. SELinux, AppArmor)."
"Contre quelles attaques micro-architecturales se protéger ?","Meltdown et Spectre."
"Les domaines utilisateurs peuvent-ils communiquer entre eux ?","Non, sauf via un système optionnel de diodes unidirectionnelles encadrées et journalisées."
"Comment doivent transiter les flux originaires du socle ?","Dans un VPN chiffrant non-débrayable maîtrisé par l'entité propriétaire."
"Les journaux d'un domaine utilisateur sont-ils envoyés au socle ?","Non, ils restent dans le domaine, leur export relève de sa propre PSSI."
"Que doit permettre le système de mise à jour même en cas d'échec ?","Que le socle reste fonctionnel et sécurisé (mise à jour atomique + fallback)."
"Quels rôles d'exploitation du socle sont cités en exemple ?","Administrateur, auditeur, mise à jour — chacun dans un domaine support dédié."
"Qu'est-ce que l'affichage de confiance ?","Un moyen (ex. barre de confiance) pour que l'utilisateur sache sans ambiguïté quel domaine il utilise."
"Qu'est-ce qu'une SBOM dans ce contexte ?","La liste de tous les composants logiciels du poste et leurs versions, maintenue à jour."
