Pourquoi les infrastructures cloud sont-elles des cibles d'intérêt pour les attaquants ?;Uniquement car elles sont situées à l'étranger;Uniquement car elles sont moins chères;En raison de la concentration des données et de la mutualisation des infrastructures;Elles ne présentent aucun intérêt particulier;4;S'ajoute le risque des lois extraterritoriales imposant la transmission de données aux autorités.
Sur quels trois éléments clés reposent les recommandations de l'ANSSI pour l'hébergement cloud ?;La couleur de l'interface, la langue, le fuseau horaire;Aucun élément particulier n'est pris en compte;La typologie des offres, l'état de la menace, la nature du SI;Le prix, la marque, la publicité de l'offreur;4;Ces trois éléments doivent être combinés dans toute décision de migration.
À qui revient la décision de migrer un système d'information vers le cloud selon l'ANSSI ?;À la plus haute autorité de l'entité, éclairée par une étude d'impact;À l'hébergeur cloud lui-même;À un algorithme automatisé sans validation humaine;Au premier informaticien disponible;2;Cette décision doit s'appuyer sur une étude d'impact métier, juridique et une analyse de risques.
Que doit prévoir une entité pour limiter sa dépendance à un seul hébergeur cloud ?;L'absence de toute négociation contractuelle;Une clause de réversibilité;Le renoncement à toute solution alternative;Un contrat à vie non résiliable;3;Cela facilite la migration d'une technologie cloud vers une autre.
Quelle est la différence entre une offre cloud publique et une offre cloud privée ?;La privée est toujours moins chère;Elles sont strictement identiques;La publique n'existe pas dans la typologie ANSSI;La publique est mutualisée entre tous les clients, la privée dédie physiquement les ressources à un client;5;Une offre communautaire, elle, est dédiée à un ensemble d'entités d'intérêt commun.
Quelles sont les offres cloud non commerciales étatiques françaises citées en exemple ?;Pi et Nubo;Google Cloud et OVH;SecNumCloud et EBIOS;AWS et Azure;2;Elles illustrent les offres internes et communautaires au sens de la typologie de l'ANSSI.
Qu'est-ce que la menace stratégique dans la typologie de l'ANSSI ?;Une simple panne matérielle;Des attaques persistantes et ciblées, menées ou financées par un État;Une attaque isolée d'un individu sans moyen particulier;Un risque purement financier sans acteur malveillant;3;Elle peut viser l'espionnage, le pré-positionnement ou la déstabilisation.
Qu'inclut la menace systémique selon la typologie de l'ANSSI ?;Uniquement les pannes électriques;La menace cybercriminelle opportuniste et la prolifération d'outils offensifs commercialisés;Uniquement les catastrophes naturelles;Uniquement les erreurs de configuration involontaires;3;Ces menaces incluent notamment les rançongiciels et les fraudes.
Qu'est-ce que le référentiel SecNumCloud ?;Un simple label marketing sans contenu technique;Une loi européenne sur la protection des données;Un ensemble de règles de sécurité et de bonnes pratiques élaboré par l'ANSSI;Un protocole de chiffrement spécifique;4;Il garantit un haut niveau d'exigence technique, opérationnel et juridique.
La qualification SecNumCloud dispense-t-elle le client de sécuriser ses propres services numériques ?;Cela dépend uniquement du prix de l'offre;Oui, totalement, aucune action du client n'est requise;Oui, mais uniquement pour les sites web;Non, le client doit sécuriser ses services (ex. contre les injections SQL);5;L'exemple donné est celui d'un site web resté vulnérable malgré un hébergement qualifié.
Qu'est-ce qu'un système d'information d'importance vitale (SIIV) ?;Un système sans lien avec la sécurité nationale;Un système utilisé uniquement par le grand public;Un système dont l'atteinte diminuerait le potentiel de guerre ou économique de la Nation;Un simple serveur de messagerie interne;4;Sa migration vers le cloud fait l'objet d'une décision motivée du responsable de l'entité.
Que recommande l'ANSSI pour l'hébergement des systèmes relevant de la doctrine cloud au centre de l'État ?;Un hébergement exclusivement dans des offres qualifiées SecNumCloud;Un hébergement interdit dans tous les cas;Un hébergement uniquement chez un opérateur étranger;Un hébergement libre, sans contrainte de qualification;2;Cette doctrine est animée par la Direction interministérielle du numérique (DINUM).
À quoi faut-il porter une attention particulière quand l'accès à une information dépend de la nationalité (ex. DR Spécial France) ?;Cela n'a aucune importance particulière;Au lieu d'hébergement et à la nationalité des administrateurs;Uniquement à la couleur de l'interface utilisateur;Uniquement à la langue du support client;3;Une offre cloud non commerciale peut s'avérer plus adaptée dans ce cas.
