Qu'est-ce qu'une DMZ dans ce guide ?;Un sous-réseau séparant deux zones de confiance hétérogène, protégé par des pare-feux périmétriques;Un serveur de messagerie externalisé;Un protocole de chiffrement des flux DNS;Une variante du protocole IKE;2;Elle est considérée comme une zone neutre et perdable.
Combien de pare-feux périmétriques distincts protègent au minimum la passerelle Internet sécurisée ?;Un seul, mutualisé pour simplifier l'administration;Deux, un externe et un interne, physiquement distincts;Aucun, seul le filtrage applicatif suffit;Quatre, tous virtuels sur le même socle;3;La mutualisation des deux pare-feux est explicitement proscrite.
Un flux peut-il être initié depuis la passerelle Internet sécurisée vers le SI interne ?;Oui, uniquement pour les flux HTTPS;Oui, sans aucune restriction particulière;Non, ce n'est pas recommandé, sauf alternative moins sécurisée dûment cloisonnée;Oui, systématiquement pour tous les flux entrants;4;Le principe veut qu'un flux soit initié depuis la zone de plus haute confiance vers la zone de moindre confiance.
Un annuaire du SI interne peut-il être directement requêté par les équipements de la passerelle ?;Oui, si le pare-feu interne l'autorise;Non, en aucun cas, trois architectures alternatives sont proposées;Oui, c'est la méthode recommandée par défaut;Oui, uniquement en lecture-écriture;3;Un annuaire dédié en lecture seule ou un mandataire d'authentification sont proposés en alternative.
Que dit le guide sur la mutualisation des pare-feux interne et externe ?;Elle est recommandée pour réduire les coûts;Elle est obligatoire pour les petites entités;Elle est acceptable si le socle est physique;Elle doit être proscrite, même en instances virtuelles distinctes sur un socle commun;5;Une compromission unique donnerait un accès direct entre le SI interne et Internet.
Pourquoi le pare-feu interne doit-il bloquer par défaut tous les flux DNS ?;Pour empêcher un canal d'exfiltration de données via le DNS depuis le SI interne;Parce que le DNS n'est jamais utilisé en interne;Parce que le DNS est incompatible avec IPv6;Pour économiser de la bande passante;2;Les résolveurs DNS internes et publics ne doivent jamais communiquer entre eux.
Quelle offre est recommandée pour une fonction relais externalisée dans le cloud ?;Une offre sans interconnexion chiffrée pour simplifier;Une offre qualifiée SecNumCloud par l'ANSSI, avec tunnel VPN IPsec à l'état de l'art;Une offre gratuite uniquement;N'importe quelle offre SaaS sans vérification;3;À défaut d'offre qualifiée, une analyse de risque renforcée est nécessaire.
Quel mode de routage doit être privilégié au sein de la passerelle Internet sécurisée ?;Le routage par défaut vers Internet sur tous les équipements;Le routage dynamique BGP systématique;Le routage statique, avec désactivation des protocoles de routage dynamique;Aucun routage, uniquement du pontage niveau 2;4;Cela évite l'apparition de chemins non souhaités dans l'architecture.
Comment un pare-feu externe doit-il traiter les connexions refusées ?;En renvoyant systématiquement une erreur ICMP explicite;En les journalisant uniquement, sans les bloquer;En les redirigeant vers un pot de miel;En mode DROP (ignorées), sans réponse ICMP de type REJECT;5;Cela évite une fuite d'information sur la politique de filtrage vis-à-vis d'Internet.
Où doit être placé le serveur mandataire pour l'accès aux contenus Web ?;Chez le fournisseur d'accès à Internet;Dans la zone de services relais de la passerelle Internet sécurisée;Dans le SI interne, hors de la passerelle;Directement sur chaque poste de travail;3;Il doit assurer authentification, contrôle d'accès, analyse de contenu et journalisation.
