Qu'est-ce que la due diligence ?;Une procédure de faillite;Un contrat de travail;Les vérifications menées avant d'entrer en relation avec un partenaire;Un impôt sur les sociétés;4;Elle porte sur la situation financière, les dirigeants, la conformité et la réputation.
Qu'est-ce que la fraude au président ?;Un abus de bien social;Une escroquerie usurpant l'identité d'un dirigeant pour obtenir un virement;Un délit d'initié;Une élection truquée;3;Elle se renouvelle grâce à l'intelligence artificielle.
Quel procédé technique permet de falsifier une adresse électronique ?;Ajouter une signature;Utiliser des caractères cyrilliques proches du latin;Changer la police d'écriture;Envoyer le soir;3;L'extension peut aussi être modifiée.
Pourquoi réserver les noms de domaine proches du sien ?;Pour les revendre;Par obligation légale;Pour le référencement uniquement;Pour empêcher leur usage par des escrocs;5;Un escroc avait utilisé l'ancien nom de domaine d'un groupe.
Que penser d'une demande urgente contraire aux procédures ?;Il faut l'exécuter vite;Elle est forcément légitime;Il faut la traiter en priorité;L'urgence ne justifie jamais de dérogation;5;L'urgence est un levier classique d'ingénierie sociale.
Quels tests la DGSI recommande-t-elle plusieurs fois par an ?;Tests d'alcoolémie;Faux messages piégés et fausses clés USB;Exercices incendie uniquement;Tests de QI;3;Ils révèlent les failles de manière pédagogique.
Pourquoi alerter rapidement l'informatique en cas de tentative d'escroquerie ?;Pour effacer les messages;Plusieurs salariés sont souvent visés en même temps;Pour obtenir une prime;Par politesse;3;La personne usurpée doit aussi être prévenue.
Faut-il porter plainte sans préjudice ?;Seulement à l'étranger;Oui, cela permet recoupements et caractérisation des modes opératoires;Non, c'est inutile;Seulement au-delà d'un million d'euros;3;En cas de préjudice, elle conditionne l'indemnisation.
Quel indice a révélé le faux fonds proposant des obligations convertibles ?;Aucun audit demandé et refus de toute visioconférence;Un taux d'intérêt élevé;Un contrat trop long;Un bureau à Paris;2;Son site indiquait ne jamais contacter directement les entreprises.
Qu'est-il arrivé à la start-up qui a payé des frais à un faux fonds ?;Elle a obtenu son financement;Elle a été récompensée;Elle a été placée en redressement judiciaire;Elle a été rachetée;4;Le fonds fictif était domicilié dans un paradis fiscal.
Quelle commission a exigée la fausse banque d'affaires ?;Une action gratuite;Une commission en cryptomonnaies;Aucune;Un paiement par chèque;3;L'investisseur n'est jamais apparu.
Quelle plateforme du ministère de l'Intérieur reçoit les plaintes pour escroquerie en ligne ?;PERCEVAL;PHAROS;EGIDE;THESEE;5;La start-up y a déposé plainte.
Quels services de l'État aident à vérifier un investisseur ?;DISSE, DREETS, réseau du Trésor et DGSI;L'INSEE uniquement;La SNCF;Météo France;2;Il est conseillé de privilégier des prestataires français.
Qu'est-ce qu'une loi extraterritoriale ?;Une loi sur l'espace;Une loi étrangère qui s'applique au-delà des frontières de son État;Une loi locale;Un traité bilatéral;3;Elle peut servir à des audits intrusifs.
Qu'est-ce que la procédure de divulgation volontaire ?;Publier ses comptes;S'auto-incriminer auprès d'autorités étrangères en leur transmettant des documents;Déposer un brevet;Déclarer ses impôts;3;Elle est encouragée pour atténuer les sanctions.
Que prévoit la loi de blocage de 1968 ?;Elle interdit les exportations;Elle bloque les sites internet;Elle interdit la communication de documents économiques ou techniques à des procédures étrangères hors traités;Elle gèle les salaires;4;Loi n°68-678 du 26 juillet 1968.
Quel service est l'interlocuteur unique pour la loi de blocage ?;L'ANSSI;La CNIL;Le SISSE, rattaché à la DGE;La DRSD;4;Depuis la réforme du 18 février 2022.
Qui est le correspondant local du SISSE ?;Le DISSE;Le maire;Le préfet de police;Le CERT;2;Délégué à l'information stratégique et à la sécurité économiques.
Qu'a dû faire la filiale auditée par un cabinet étranger ?;Déposer un brevet;Transférer des documents sur un cloud étranger puis s'auto-dénoncer;Refuser tout audit;Fermer ses portes;3;Un bureau de conformité supervisé par un étranger a été installé.
Que faire des données sensibles avant un audit ?;Les publier;Les isoler dans un répertoire sécurisé d'accès restreint;Les envoyer à l'auditeur;Les supprimer;3;Il faut aussi répertorier toutes les données remises.
Qu'est-ce qu'un pays rebond ?;Un pays intermédiaire masquant la destination réelle d'un bien;Un pays touristique;Un pays membre de l'UE;Un paradis fiscal uniquement;2;La machine française y a transité vers un État proliférant.
Pourquoi la machine française est-elle devenue soumise à licence ?;Elle a été exportée par bateau;Des améliorations techniques lui ont fait franchir le seuil des biens à double usage;Elle a été vendue plus cher;Elle a changé de couleur;3;L'entreprise ne disposait pas de contrôle export suffisant.
Que révélaient les locaux partagés du client prétendument civil ?;Qu'il travaillait pour le complexe militaro-industriel d'un État sanctionné;Rien de particulier;Qu'il était une start-up;Qu'il était un client fidèle;2;Il proposait aussi un paiement en espèces.
Quel effet a un changement de destinataire sur une licence d'exportation ?;Il la double;Il la prolonge;Il la rend caduque;Aucun effet;4;Il peut traduire une dissimulation de l'utilisateur final.
Quelle clause contractuelle limite le détournement d'un bien exporté ?;La clause de loyauté;La clause de mobilité;Le certificat de non-réexportation;La clause d'exclusivité;4;Des inspections ou un contrat de maintenance aident aussi.
Quelle adresse DGSI est dédiée aux acquisitions suspectes pour un pays proliférant ?;info@douane.fr;signalement-cp@interieur.gouv.fr;plainte@cnil.fr;contact@dgsi.fr;3;L'adresse générale reste securite-economique.
Quel a été l'effet de la notation alarmiste d'une PME par un cabinet étranger ?;Des clients inquiets et un fournisseur exigeant le paiement à la livraison;Un rachat immédiat;Une hausse du cours;Aucun effet;2;Le cabinet n'avait pas eu accès à ses comptes.
Faut-il toujours répondre publiquement à une atteinte à la réputation ?;Non, si elle est limitée il peut être préférable de ne pas lui donner de visibilité;Non, jamais;Oui, par un procès systématique;Oui, toujours immédiatement;2;Il faut d'abord évaluer sa crédibilité et son ampleur.
Quand le Flash ingérence a-t-il été créé ?;En 1945;En 2020;En 2024;En juillet 2012;5;Il est mensuel depuis janvier 2016.
Quel taux d'engagement le Flash ingérence atteint-il sur LinkedIn ?;90 %;2 %;24 %;0,5 %;4;La moyenne générale est inférieure à 5 %.
Quelles traces d'intrusion présentaient les téléphones rendus après un contrôle aéroportuaire ?;Carte SIM retirée;Aucune trace;Écran cassé;Batteries rechargées, icônes déplacées et menus en langue étrangère;5;Une application d'espionnage avait été installée.
Qu'a découvert un groupe dans les terminaux de paiement de ses distributeurs automatiques ?;Rien;Des micros, des caméras et des interfaces de communication;Des pièces de monnaie étrangères;Des virus biologiques;3;Le choix des prestataires doit être étudié avec attention.
