"Zones de confiance/d'administration ?","À définir à partir de l'analyse de risque du SI administré, pour en déduire les zones d'administration."
"Virtualisation des infra d'administration ?","Confiance limitée dans le cloisonnement virtualisé → dédier des socles physiques (surtout pour les équipements de sécurité)."
"3 architectures de poste d'administration, du + au - sécurisé ?","1) Dédié exclusivement 2) Multi-niveaux 3) Accès distant au SI bureautique (dernier recours)."
"Accès Internet depuis/vers le poste d'admin ?","À bloquer entièrement."
"Réseau des ressources d'administration ?","Physique dédié, ou à défaut VPN IPsec dédié, + filtrage interne/périmétrique."
"Connexions entre ressources administrées via le réseau d'admin ?","À bloquer : ce réseau ne sert qu'aux flux d'administration."
"Étude à mener sur les flux d'administration ?","Rupture protocolaire, sauf si elle contredit un besoin de confidentialité (y renoncer alors)."
"Type de compte d'administration par défaut ?","Individuel (pas générique partagé) - événements journalisés."
"Stockage des mots de passe d'administration ?","Coffre-fort dédié ; mots de passe par défaut des comptes natifs systématiquement changés."
"Authentification privilégiée pour l'administration ?","Double facteur + certificats électroniques de confiance + gestion centralisée."
"Principe d'attribution des droits d'administration ?","Moindre privilège, droits attribués à des groupes (pas individuellement)."
"MCS du SI d'administration ?","Serveurs relais pour les mises à jour + validation des correctifs avant généralisation."
"Équipement pour un poste d'admin nomade ?","Filtre de confidentialité + tunnel VPN IPsec non modifiable par l'utilisateur + concentrateur VPN dédié."
"Authentification sur un système d'échange externe ?","Jamais avec un compte d'administration (évite d'exposer des identifiants privilégiés en cas de compromission)."
"Stockage permanent dans un système d'échange externe ?","Interdit ; contenu des échanges à analyser."
"Qu'est-ce qu'un PAMS ?","Prestataire d'Administration et de Maintenance Sécurisées, qualifié ANSSI (infogérance)."
"Qu'est-ce qu'un rebond éphémère (admin tiers) ?","Ressource intermédiaire temporaire, créée/détruite par session, en coupure VPN ↔ SI administré."
"Assistance à distance recommandée ?","Boîtier matériel d'acquisition vidéo en priorité, sinon solution logicielle collaborative dédiée."
"Exemple d'OS multi-niveaux cité ?","CLIP OS."
"Exemple de second facteur cité ?","Jeton FIDO."
