"Captation technologique ?","Appropriation sans contrepartie du savoir-faire d'une entreprise ou d'un laboratoire par un acteur étranger."
"Signes de rétro-ingénierie ?","Petite commande, questions techniques intrusives, demandes d'échantillons et de sous-traitants."
"Avant un nouveau client ?","Honorabilité, intermédiaires identifiés, destination et usage des produits, informations à ne jamais livrer."
"Contrats de vente et partenariat ?","Clauses de protection, sanctions, promesses formalisées, pouvoirs des mandataires délimités."
"Menaces sur une start-up ?","Vol de prototype, prise de participation, rétro-ingénierie, offre de rachat, dénigrement."
"Recherche fondamentale ?","Risque sous-estimé : applications à court terme, prélude à des coopérations en recherche appliquée ou militaires."
"PPST ?","Protection du potentiel scientifique et technique de la nation."
"4 risques de l'évaluation PPST ?","Intérêts économiques, arsenaux étrangers/défense, prolifération d'ADM, terrorisme."
"ZRR ?","Zone à régime restrictif : accès contrôlé sur autorisation du chef d'établissement."
"FSD ?","Fonctionnaire de sécurité et de défense de l'établissement, à consulter avant tout partenariat étranger."
"Chercheurs primés ?","Communauté identifiable ; veiller à ses profils, matériel dédié en voyage, refuser les cadeaux excessifs."
"Choose France for Science ?","Plateforme créée en 2025 pour accueillir des chercheurs étrangers."
"Accueil de chercheurs étrangers ?","Partenariats équilibrés, contrôle des parcours, ZRR, règlement traduit et signé, vigilance après séjour."
"Incident avec un chercheur accueilli ?","Retrait des accès, FSD, plainte, DGSI."
"Cifre ?","Convention industrielle de formation par la recherche : doctorant, laboratoire, entreprise."
"Protection d'un logiciel ?","Droit d'auteur (L112-2 CPI, effort personnalisé) ; brevet seulement intégré à une machine ou un procédé."
"Avant un projet logiciel ?","Dossier de preuves, enveloppe Soleau, confidentialité, marquage (blockchain), mention de protection."
"Où breveter ?","INPI (France), OEB (Europe), OMPI (monde) ; taxe annuelle ; 20 ans maximum."
"Preuve de paternité d'un logiciel ?","Pli recommandé scellé, notaire, commissaire de justice, APP ou INPI."
"Contrefaçon ?","Vérifier ses droits, mise en demeure, poursuites, saisie-contrefaçon, DGSI."
"Risques de l'IA grand public ?","Données réutilisées pour l'entraînement, stockage à l'étranger, API et plugins vulnérables."
"Biais de l'IA ?","Dépendance, perte de contrôle, biais d'entraînement, boîte noire, hallucinations."
"IA offensive ?","Contenus malveillants, hameçonnage ciblé, deepfakes, exemples contradictoires, empoisonnement des données."
"Encadrer l'IA ?","Charte informatique, IA française conforme RGPD, IA locale, formation."
"Usage raisonné de l'IA ?","Transparence, aucune donnée personnelle ou confidentielle, vérification par des experts."
"Deepfake du dirigeant ?","Visioconférence demandant un virement : couper et vérifier par les canaux habituels."
"Doctorant et logiciel espion ?","Transfert de données de chimie vers son ordinateur personnel, puis recrutement à l'étranger."
"Doctorant Cifre disparu ?","Stylos et clés USB enregistreurs retrouvés dans son logement."
