"Qu'est-ce qu'un JRE ?","Java Runtime Environment : nécessaire à l'exécution des applications Java, à installer au préalable."
"Pourquoi les vulnérabilités JRE sont-elles graves ?","Souvent zero-day, exploitées avant correction ; mises à jour pas toujours automatiques."
"Pourquoi EMET est-il peu efficace contre Java ?","Les vulnérabilités Java sont des échappements de bac à sable, pas des failles de la JVM elle-même."
"Pourquoi plusieurs versions majeures de JRE peuvent coexister ?","Certaines apps ne sont compatibles qu'avec une version précise (souvent ancienne et vulnérable)."
"Dernier navigateur supportant les appliquettes après fin 2016 ?","Microsoft Internet Explorer 11 (Chrome dès 2015, Edge jamais)."
"Recommandation R1 face à l'obsolescence des appliquettes ?","Anticiper : remplacer ou faire évoluer les applications concernées."
"Pourquoi les apps lourdes Java échappent aux outils d'inventaire ?","Souvent portables, non considérées comme 'installées' → voie organisationnelle nécessaire."
"Que faire des JRE inutiles ?","Les désinstaller + mesures techniques/organisationnelles (retrait droits admin, AppLocker/SRP) pour empêcher réinstallation."
"Si seules des apps lourdes Java sont utilisées ?","Désactiver module complémentaire Java + Java Web Start dans les navigateurs, filtrer .jar/.jnlp aux proxys."
"Meilleure solution de migration d'une appliquette ?","Ré-écriture en application Java Web Start autonome (vs simple migration sans recompilation, limitée face à Java 9+)."
"Rôle de deployment.properties / deployment.config ?","Configuration Java centralisée, homogène et verrouillée ; deployment.config pointe vers le fichier centralisé."
"Recommandation de déploiement du JRE ?","Télédéploiement (GPO, SCCM...) sur le périmètre le plus restreint possible."
"Recommandation de veille/MàJ ?","Suivre les alertes CERT-FR (flux RSS) + mettre à jour dans les plus brefs délais."
"Windows 64 bits : quel JRE utilise IE depuis les raccourcis usuels ?","La version 32 bits (IE 64 bits peu utilisé)."
"Pourquoi mettre à jour aussi le JRE 32 bits ?","La MàJ du 64 bits ne corrige pas les failles du 32 bits, encore utilisé par IE par défaut."
"Comment traiter les fichiers .jar et .jnlp ?","Comme des exécutables à part entière (même règles que .exe sur proxys/filtrage courriel)."
"Stratégie des deux navigateurs : quand ?","Seulement si les ressources le permettent ; sinon un seul navigateur bien maîtrisé est préférable."
"Recommandation contractuelle (MCO/MCS) ?","Intégrer des clauses garantissant la mise à jour du JRE dans les marchés/projets Java."
"NPAPI ?","Ancienne interface pour modules complémentaires Java (Chrome/Firefox), plugins exécutés avec privilèges utilisateur — pas de sécurité convenable."
"Exemple d'inefficacité de l'antivirus citée ?","Vulnérabilité Java du 27/08/2012 : détectée par moins de la moitié des antivirus du marché à sa parution."
