"Étude de maturité ?","Collectivités < 25 000 habitants (99 % des communes) ; 1 178 répondants."
"Exposition ?","34 collectivités assistées pour 1 entreprise (2022) ; 1 sur 10 attaquée dans l'année ; hameçonnage 46 %."
"Conséquences des attaques ?","Interruption 40 %, destruction de données 20 %, perte financière 20 %, vol de données 14 %."
"Moyens ?","80 % < 10 postes ; budget cyber < 2 000 € pour 75 % ; 2FA 10 % ; 62 % d'équipements personnels."
"Préparation ?","14 % préparées ; 19 % avec procédure de réaction."
"Freins ?","Connaissances 45 %, RH 38 %, temps 34 %, budget 34 %."
"5 clés de sensibilisation ?","Prendre conscience, impliquer, ressources, répéter, vérifier."
"Top 3 des attaques ?","Rançongiciel, hameçonnage, piratage de compte."
"Réflexe de l'agent ?","Ne pas gérer seul ; alerter le responsable informatique ou le référent cyber."
"Programme en 3 actes ?","Lancement, cœur (4 périodes), clôture avec bilan et questionnaire."
"4 fondamentaux ?","Thèmes, supports (vidéo, fiche, mémo, quiz), canaux, pilote."
"Vérifier l'assimilation ?","Retours d'expérience, quiz, faux hameçonnage bienveillant, mesure de l'engagement."
"RGPD ?","Depuis le 25/05/2018 : responsabilisation, documentation continue."
"Obligations RGPD ?","DPO, registre, sous-traitance encadrée, sécurité, droits, violations notifiées, AIPD."
"CNIL ?","Conseil, plaintes, contrôles, sanctions jusqu'à 20 M€ ; ne mandate aucune entreprise."
"DPO ?","Obligatoire ; indépendant, sans conflit d'intérêts ; pas le maire ni un conseiller."
"4 étapes RGPD ?","Recenser (registre), trier (minimisation), droits (1 mois), sécuriser."
"Droits des personnes ?","Accès, rectification, opposition, effacement, portabilité, limitation."
"Violation de données ?","Notification CNIL sous 72 h ; information des personnes si risque élevé."
"AIPD ?","Obligatoire dès 2 critères de risque sur 9."
"Sous-traitant ?","Clauses de l'article 28 : transparence, sécurité, assistance, alerte."
"Vidéo ?","Vidéoprotection : autorisation préfectorale 5 ans, images 1 mois ; caméras piétons : 6 mois."
"Tiers autorisés ?","Demande écrite fondée sur un texte, canal sécurisé, traçabilité."
