Quelle agence édite le "Guide d'hygiène informatique" ?;La CNIL;L'ANSSI;La DGSI;L'ARCEP;3;L'ANSSI (Agence nationale de la sécurité des systèmes d'information) édite ce document pour renforcer la sécurité des SI.
Combien de mesures de sécurité sont proposées dans ce guide ?;10 mesures;25 mesures;42 mesures;100 mesures;4;Le guide comporte 42 règles de sécurité simples, applicables indépendamment ou comme plan d'actions.
Dans le cadre de l'infogérance, que signifie l'acronyme PAS ?;Plan d'Assurance Sécurité;Protocole d'Accès Sécurisé;Plan d'Action Système;Portail d'Administration Sécurisé;2;Le PAS est un document contractuel décrivant les dispositions de sécurité mises en œuvre par le prestataire.
Quelle méthode est recommandée pour l'analyse de risques SSI ?;AGILE;EBIOS;ISO 9001;ITIL;3;La méthode EBIOS, référencée par l'ANSSI, permet d'exprimer les besoins et d'identifier les objectifs de sécurité.
Quelle est la règle concernant les comptes d'accès au système d'information ?;Ils doivent être génériques (ex: stagiaire);Ils doivent être partagés par service;Ils doivent être nominatifs;Ils doivent être anonymes;4;Les comptes doivent être nominatifs pour permettre l'imputabilité des actions en cas d'incident.
Quel protocole est recommandé pour authentifier les équipements sur le réseau filaire ?;WEP;802.1X;DHCP;Telnet;3;Le standard 802.1X permet de renforcer le contrôle d'accès en authentifiant les postes sur le réseau.
Comment doivent être gérés les comptes d'administration ?;Le même compte sert pour la bureautique et l'admin;Un compte dédié distinct du compte utilisateur est requis;Ils ne nécessitent pas de mot de passe;Ils sont partagés entre tous les admins;3;Chaque administrateur doit disposer d'un compte dédié exclusivement aux tâches d'administration, distinct de son compte personnel.
Quelle technologie est recommandée pour sécuriser l'accès Wi-Fi ?;WEP;WPA2 avec AES CCMP;WPA simple;Filtrage MAC uniquement;3;Le chiffrement WPA2 associé à l'algorithme AES CCMP offre un niveau de sécurité robuste recommandé.
Que faut-il faire immédiatement après l'installation d'un nouvel équipement ?;Le redémarrer;Changer les éléments d'authentification par défaut;Le connecter à Internet;Désactiver les journaux;3;Les configurations par défaut sont connues des attaquants et doivent être modifiées dès l'installation.
Quel est le délai recommandé pour appliquer les correctifs de sécurité critiques ?;Dans l'année;Dans les 6 mois;Dans le mois suivant leur publication;Uniquement lors des pannes;4;La politique de mise à jour doit garantir l'application des correctifs dans le mois suivant leur publication par l'éditeur.
Quelle action est préconisée concernant les ports USB inconnus ?;Les analyser avec un antivirus;Interdire leur branchement;Les formater immédiatement;Les utiliser uniquement pour des documents;3;Le branchement de clés USB inconnues doit être proscrit car elles peuvent véhiculer des codes malveillants.
Quel organisme publie les alertes sur les nouvelles vulnérabilités ?;Le CERT-FR;La CNIL;L'INSEE;Le CSA;2;Le CERT-FR assure une veille technologique et publie des alertes sur l'état de l'art des systèmes et logiciels.
Quelle mesure physique est recommandée pour les terminaux nomades lors des déplacements ?;Utiliser un filtre de confidentialité écran;Laisser l'ordinateur en veille;Utiliser le Wi-Fi public sans VPN;Coller le logo de l'entreprise sur le capot;2;Un filtre de confidentialité empêche les indiscrétions visuelles dans les lieux publics ou les transports.
