Quelle méthode d'analyse de risque l'ANSSI recommande-t-elle avant de concevoir une architecture ?;Le PCA seul;La méthode Agile;Le SCT;EBIOS Risk Manager;5;Il faut aussi connaître le contexte réglementaire applicable au SI.
Selon quel critère les ressources d'un SI doivent-elles être cloisonnées ?;Les risques et les besoins métier, selon exposition et sensibilité des données;Aucun critère particulier;Uniquement la taille du budget disponible;Uniquement la couleur des câbles;2;Ce cloisonnement s'applique au réseau, au système et au stockage.
Dans quel sens les flux doivent-ils circuler entre zones de confiance différente ?;Depuis la zone de moindre confiance vers la zone de plus haute confiance;Dans les deux sens indifféremment;Depuis la zone de plus haute confiance vers la zone de moindre confiance;Les flux ne doivent jamais circuler;4;Par exemple du SI d'administration vers le SI bureautique, jamais l'inverse.
Comment doivent être sécurisées les opérations nécessitant des privilèges élevés ?;En les fusionnant avec les environnements de production;En les rendant accessibles à tous les utilisateurs;Sans mesure particulière;En les cloisonnant des environnements de production;5;Ce principe s'applique notamment aux actions d'administration.
Que faut-il élaborer et mettre à jour régulièrement selon les grands principes d'architecture sécurisée ?;Le catalogue des fournisseurs;Uniquement l'organigramme de l'entreprise;Une cartographie et des inventaires du SI;Le plan de circulation des véhicules;4;Cela permet de garder une vision fiable du système d'information.
Que faut-il vérifier régulièrement concernant les choix technologiques et d'architecture ?;Qu'ils sont identiques à ceux des concurrents;Qu'ils utilisent la dernière technologie à la mode;Qu'ils sont les moins chers du marché;Qu'ils sont réellement motivés par des besoins métier avérés;5;Cela évite une complexification inutile du SI sans lien avec un usage réel.
Quelles thématiques doivent figurer dans un dossier d'architecture technique concernant les accès ?;Le plan de formation RH;Uniquement la liste des mots de passe;Identification, authentification et gestion des droits d'accès;Uniquement les horaires de travail;4;Ces éléments couvrent la gestion des identités numériques du SI.
Quelle thématique du dossier d'architecture technique couvre la gestion des comptes à privilèges ?;La sécurité physique uniquement;La supervision de sécurité uniquement;Le contexte métier uniquement;L'administration, incluant le DevSecOps;5;L'administration doit aussi traiter la gestion des comptes à privilèges.
Quelles thématiques couvrent le chiffrement dans un dossier d'architecture technique ?;Uniquement le chiffrement des sauvegardes papier;Le chiffrement des mots de passe utilisateurs uniquement;Le chiffrement des données en transit et au repos;Aucune thématique de chiffrement n'est requise;4;Le filtrage des flux complète cette thématique.
Que couvre la thématique accès à distance d'un dossier d'architecture technique ?;Le nomadisme numérique et les accès tiers;Uniquement les accès physiques au bâtiment;Uniquement les accès administrateur en interne;Rien de particulier;2;Les interconnexions, dont celle à Internet, sont une thématique distincte mais liée.
Que couvre la thématique supervision de sécurité d'un dossier d'architecture technique ?;Le planning des congés des administrateurs;Uniquement la supervision vidéo des locaux;La journalisation, la détection et le traitement des incidents;Uniquement les rapports financiers;4;Cette thématique est complémentaire à la continuité et reprise d'activité.
Vers quelle publication complémentaire l'ANSSI renvoie-t-elle pour approfondir l'administration en contexte Active Directory ?;Aucune publication complémentaire n'existe;Le guide sur les chansons reggae;Le guide sur la cryptographie post-quantique uniquement;L'administration sécurisée de SI en contexte Microsoft Active Directory;5;D'autres publications couvrent le choix de pare-feux ou le modèle Zero Trust.
Quelle thématique couvre la continuité et la reprise d'activité dans un dossier d'architecture technique ?;Elle ne concerne pas l'architecture du SI;Elle est identique à la supervision de sécurité;Elle ne concerne que le matériel de bureau;Elle inclut notamment les sauvegardes;5;Cette thématique complète la protection contre les codes malveillants et la sécurité physique.
