"Quand des données sont-elles dites sensibles ?","Quand leur compromission peut sérieusement entraver la capacité de l'entité à atteindre ses objectifs, voire à exister."
"Que faut-il établir pour évaluer les conséquences d'une compromission de données ?","Une échelle d'impact homogène pour toute l'entité."
"Quels sont les cinq critères d'impact de l'échelle ANSSI ?","Humain, financier, juridique, opérationnel, image."
"Quels sont les quatre niveaux de gravité d'impact ?","Mineur, significatif, grave, critique."
"Quels sont les trois niveaux de sensibilité des données ?","Non sensible (1), sensible (2-3), très sensible (4, incluant Diffusion Restreinte)."
"Ce guide couvre-t-il les informations classifiées Secret/Très secret (IGI 1300) ?","Non, ces mesures spécifiques ne sont pas couvertes."
"Que faire en premier pour identifier les données sensibles ?","Un inventaire macroscopique de toutes les données et traitements."
"Pourquoi préférer une évaluation par catégorie plutôt que par donnée ?","Contraintes de temps et de disponibilité des décideurs (qui valident l'évaluation)."
"Qui questionne les besoins métier pour éviter une mauvaise évaluation de sensibilité ?","Le RSSI, avec validation par les décideurs."
"Que peut faire l'agrégation de données sur le niveau de sensibilité ?","L'élever (ex. dépôt de données niveau 2 réévalué niveau 3)."
"Pourquoi prévoir des revues régulières de la sensibilité ?","Car elle évolue dans le temps et selon les contextes."
"Comment définir les exigences de sécurité d'un SI selon son niveau ?","Identifier les besoins de sécurité (dispo, intégrité, confidentialité) les plus critiques, puis appliquer des mesures ad hoc (ex. PCA)."
"Selon quels critères évaluer l'exposition d'une donnée ?","Nombre/type de personnes y accédant et maîtrise des interfaces d'accès (physique, logique, réseau tiers)."
