"Principe de moindre privilège ?","Une tâche ne dispose que des privilèges strictement nécessaires à ses fonctions."
"Stratégie la plus efficace pour l'appliquer ?","Interdire par défaut, autoriser exclusivement le nécessaire, dès la conception."
"Qu'est-ce qu'un domaine ?","L'environnement d'exécution d'une tâche : ressources propres + ressources partagées accessibles."
"Rôle du moniteur de référence ?","Décider d'autoriser/interdire chaque action d'une tâche sur une ressource (met en œuvre la politique)."
"Composant de confiance ?","Supposé non corruptible par l'attaquant considéré (hypothèse de travail, pas garantie absolue)."
"Moniteur de référence pour des processus Linux/Windows ?","Le noyau du système d'exploitation."
"Surface d'attaque vs surface de friction ?","Attaque : interfaces vers l'environnement de l'attaquant. Friction : autres interfaces externes (dont composants de confiance)."
"4 éléments de l'analyse de sécurité attendue ?","Biens sensibles, modèle d'attaquant, périmètre (surface attaque/friction), fonctions de sécurité."
"Critères distinguant des usages différents ?","Connectivité, criticité/sensibilité des ressources, périodicité des actions, lien au cycle de vie (admin, MàJ)."
"Langage recommandé pour un composant de confiance ?","Fortement typé (Rust, Ada, OCaml, Go) - prévient débordements et pointeurs invalides."
"Code inutilisé dans un composant de confiance ?","À supprimer si possible, sinon désactiver par configuration (composant minimal)."
"Attaque TOCTTOU ?","Time Of Check To Time Of Use : exploite un décalage entre vérification et usage effectif d'une ressource."
"Niveau de privilège requis du moniteur vs tâches cloisonnées ?","Toujours supérieur, sinon une tâche compromise peut modifier le moniteur/sa politique."
"Pourquoi minimiser les options de config en production ?","Réduire l'impact d'une erreur de configuration sur la sécurité globale."
"Contrôle d'accès dans le même processus que la tâche = cloisonnement réel ?","Non : rien n'isole ce module, l'attaquant peut le modifier. Il faut un moniteur à privilège supérieur (ex. noyau)."
"Un composant peut-il exiger d'abaisser le durcissement du système hôte ?","Non : il doit rester compatible avec un durcissement à l'état de l'art (innocuité)."
"Pourquoi raffiner le cloisonnement à l'intérieur d'un domaine (ex. VM) ?","Défense en profondeur, surtout si le domaine est volumineux (ex. isoler un serveur Web dans un conteneur au sein de la VM)."
"Hyperviseurs de type 1 cités ?","Xen, KVM, ESXi, Hyper-V (natifs) - vs Qemu seul/VirtualBox (type 2, sur OS hôte)."
"Exemples de MAC (contrôle d'accès obligatoire) cités ?","SELinux, AppArmor (Linux) ; MIC (Windows)."
"Leçon de l'exemple exIDS ?","Isoler les logiciels IDS sans accès réseau limite le rebond ; compromis performance/sécurité nécessite des mesures compensatoires (TAP unidirectionnel)."
